Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2019,round11,1Game4,Geelong,85,Kardinia Park,Kardinia Park,VIC,1
2019,round11,1Game5,Brisbane,85,Gabba,Gabba,QLD,6
2019,round11,1Game6,Melbourne,88,TIO Stadium,MCG,VIC,16
2019,round11,1Game7,St. Kilda,69,Jiangwan Stadium,Docklands,VIC,12
2019,round11,1Game8,Essendon,74,MCG,Docklands,VIC,10
2019,round11,1Game9,West Coast,133,Perth Stadium,Perth Stadium,WA,4
2019,round12,2Game1,Richmond,37,MCG,MCG,VIC,6
2019,round12,2Game2,Carlton,78,Docklands,Docklands,VIC,18
2019,round12,2Game3,Gold Coast,72,Metricon,Metricon,QLD,17
2019,round12,2Game4,Adelaide,82,Adelaide Oval,Adelaide Oval,SA,8
2019,round12,2Game5,Sydney,116,SCG,SCG,NSW,15
2019,round12,2Game6,Collingwood,98,MCG,MCG,VIC,3
2019,round13,3Game1,Adelaide,101,Adelaide Oval,Adelaide Oval,SA,5
2019,round13,3Game2,Essendon,96,Docklands,Docklands,VIC,10
2019,round13,3Game3,Gold Coast,76,Riverway Stadium,Metricon,QLD,17
2019,round13,3Game4,Fremantle,100,Perth Stadium,Perth Stadium,WA,9
2019,round13,3Game5,Carlton,100,Docklands,Docklands,VIC,18
2019,round13,3Game6,North Melbourne,68,Blundstone Arena,Docklands,VIC,12
2019,round14,4Game1,West Coast,106,Perth Stadium,Perth Stadium,WA,5
2019,round14,4Game2,Sydney,82,SCG,SCG,NSW,15
2019,round14,4Game3,Melbourne,85,MCG,MCG,VIC,16
2019,round14,4Game4,St. Kilda,59,Docklands,Docklands,VIC,11
2019,round14,4Game5,Port Adelaide,67,Adelaide Oval,Adelaide Oval,SA,9
2019,round14,4Game6,Western Bulldogs,73,Docklands,Docklands,VIC,14
2019,round15,5Game1,Essendon,77,Docklands,Docklands,VIC,10
2019,round15,5Game2,Geelong,96,Kardinia Park,Kardinia Park,VIC,1
2019,round15,5Game3,Hawthorn,71,MCG,MCG,VIC,12
2019,round15,5Game4,Sydney,93,SCG,SCG,NSW,14
2019,round15,5Game5,Collingwood,37,Docklands,MCG,VIC,2
2019,round15,5Game6,Port Adelaide,41,Adelaide Oval,Adelaide Oval,SA,7
2019,round15,5Game7,St. Kilda,70,Docklands,Docklands,VIC,11
2019,round15,5Game8,Brisbane,107,Gabba,Gabba,QLD,6
2019,round15,5Game9,Fremantle,75,Perth Stadium,Perth Stadium,WA,8
2019,round16,6Game1,Hawthorn,67,MCG,MCG,VIC,15
2019,round16,6Game2,Essendon,76,MCG,Docklands,VIC,10
2019,round16,6Game3,Gold Coast,58,Metricon,Metricon,QLD,18
2019,round16,6Game4,Adelaide,44,Adelaide Oval,Adelaide Oval,SA,6
2019,round16,6Game5,Western Bulldogs,71,Docklands,Docklands,VIC,13
2019,round16,6Game6,Fremantle,31,Perth Stadium,Perth Stadium,WA,8
2019,round16,6Game7,Carlton,100,MCG,Docklands,VIC,17
2019,round16,6Game8,North Melbourne,112,Blundstone Arena,Docklands,VIC,11
2019,round16,6Game9,Greater Western Sydney,74,Sydney Showground,Sydney Showground,NSW,4
2019,round17,7Game1,West Coast,77,Perth Stadium,Perth Stadium,WA,2
2019,round17,7Game2,Sydney,62,scg,SCG,NSW,14
2019,round17,7Game3,Hawthorn,84,University of Tasmania Stadium,MCG,VIC,13
2019,round17,7Game4,Essendon,86,Docklands,Docklands,VIC,9
2019,round17,7Game5,Gold Coast,56,Metricon,Metricon,QLD,18
2019,round17,7Game6,Geelong,84,Kardinia Park,Kardinia Park,VIC,1
2019,round17,7Game7,Richmond,94,MCG,MCG,VIC,6
2019,round17,7Game8,Western Bulldogs,74,Docklands,Docklands,VIC,12
2019,round17,7Game9,Port Adelaide,49,Adelaide Oval,Adelaide Oval,SA,7
2019,round18,8Game1,Adelaide,75,Adelaide Oval,Adelaide Oval,SA,7
2019,round18,8Game2,Richmond,101,mcg,MCG,VIC,5
2019,round18,8Game3,Carlton,99,Docklands,Docklands,VIC,17
2019,round18,8Game4,Greater Western Sydney,122,Sydney Showground,Sydney Showground,NSW,6
2019,round18,8Game5,Brisbane,87,Gabba,Gabba,QLD,3
2019,round18,8Game6,Fremantle,52,Perth Stadium,Perth Stadium,WA,13
2019,round18,8Game7,Geelong,61,MCG,Kardinia Park,VIC,1
2019,round18,8Game8,Melbourne,78,TIO Stadium,MCG,VIC,16
2019,round18,8Game9,St. Kilda,116,Docklands,Docklands,VIC,15
2019,round19,9Game1,Collingwood,66,MCG,MCG,VIC,4
2019,round19,9Game2,Hawthorn,60,University of Tasmania Stadium,MCG,VIC,10
2019,round19,9Game3,Carlton,87,MCG,Docklands,VIC,16
2019,round19,9Game4,West Coast,121,Perth Stadium,Perth Stadium,WA,3
2019,round19,9Game5,St. Kilda,104,Docklands,Docklands,VIC,14
2019,round19,9Game6,Port Adelaide,55,Adelaide Oval,Adelaide Oval,SA,9
2019,round19,9Game7,Western Bulldogs,113,Docklands,Docklands,VIC,12
2019,round19,9Game8,Sydney,80,SCG,SCG,NSW,15
2019,round19,9Game9,Gold Coast,96,Metricon,Metricon,QLD,18
2019,round20,0Game1,North Melbourne,86,Docklands,Docklands,VIC,14
2019,round20,0Game2,Essendon,67,Docklands,Docklands,VIC,7
2019,round20,0Game3,Greater Western Sydney,83,Sydney Showground,Sydney Showground,NSW,5
2019,round20,0Game4,Fremantle,95,Perth Stadium,Perth Stadium,WA,12
2019,round20,0Game5,Melbourne,60,MCG,MCG,VIC,17
2019,round20,0Game6,Adelaide,92,Adelaide Oval,Adelaide Oval,SA,8
2019,round20,0Game7,Collingwood,120,MCG,MCG,VIC,6
2019,round20,0Game8,Carlton,75,Docklands,Docklands,VIC,16
2019,round20,0Game9,Brisbane,95,Gabba,Gabba,QLD,3
2019,round21,1Game1,Greater Western Sydney,29,UNSW Canberra Oval,Sydney Showground,NSW,5
2019,round21,1Game2,Melbourne,53,MCG,MCG,VIC,17
2019,round21,1Game3,Port Adelaide,103,Adelaide Oval,Adelaide Oval,SA,9
2019,round21,1Game4,Brisbane,144,Gabba,Gabba,QLD,3
2019,round21,1Game5,Essendon,33,Docklands,Docklands,VIC,7
2019,round21,1Game6,Geelong,69,Kardinia Park,Kardinia Park,VIC,1
2019,round21,1Game7,St. Kilda,72,Docklands,Docklands,VIC,14
2019,round21,1Game8,Richmond,73,MCG,MCG,VIC,4
2019,round21,1Game9,West Coast,90,Perth Stadium,Perth Stadium,WA,2
2019,round22,2Game1,Melbourne,42,MCG,MCG,VIC,17
2019,round22,2Game2,Carlton,78,MCG,Docklands,VIC,16
2019,round22,2Game3,Brisbane,75,Gabba,Gabba,QLD,2
2019,round22,2Game4,Adelaide,48,Adelaide Oval,Adelaide Oval,SA,9
2019,round22,2Game5,North Melbourne,144,Docklands,Docklands,VIC,14
2019,round22,2Game6,Fremantle,55,Perth Stadium,Perth Stadium,WA,12
2019,round22,2Game7,Richmond,88,MCG,MCG,VIC,4
2019,round22,2Game8,Greater Western Sydney,65,Sydney Showground,Sydney Showground,NSW,6
2019,round22,2Game9,Hawthorn,118,Docklands,MCG,VIC,11
2019,round23,3Game1,Collingwood,76,MCG,MCG,VIC,5
2019,round23,3Game2,Sydney,109,SCG,SCG,NSW,15
2019,round23,3Game3,North Melbourne,88,Blundstone Arena,Docklands,VIC,12
2019,round23,3Game4,Geelong,129,Kardinia Park,Kardinia Park,VIC,2
2019,round23,3Game5,Gold Coast,55,Metricon,Metricon,QLD,18
2019,round23,3Game6,West Coast,67,Perth Stadium,Perth Stadium,WA,3
