Player,Team,Position,,,
Kelvin Moore,Richmond,Defender,,,
Jeromey Webberley,Richmond,Defender,,,
Jason Gram,St Kilda,Defender,,,
Raphael Clarke,St Kilda,Defender,,,
Ryan Hargrave,Western Bulldogs,Defender,,,
Lindsay Gilbee,Western Bulldogs,Defender,,,
James Aish,Collingwood,Defender,,,
Brendon Goddard,Essendon,Defender,,,
Andrew McGrath,Essendon,Defender,,,
Lachie Weller,Gold Coast,Defender,,,
Corey Ellis,Richmond,Defender,,,
James Kelly,Essendon,Defender,,,
Declan Mountford,North Melbourne,Defender,,,
Nathan van Berlo,Adelaide,Defender,,,
Clancee Pearce,Fremantle,Defender,,,
Jimmy Bartel,Geelong,Defender,,,
Brad McKenzie,North Melbourne,Defender,,,
Clinton Young,Collingwood,Defender,,,
Mark McVeigh,Essendon,Defender,,,
Will Hamill,Adelaide Crows,Defender,,,
Andrew McPherson,Adelaide Crows,Defender,,,
Lachlan Sholl,Adelaide Crows,Defender,,,
Noah Answerth,Brisbane Lions,Defender,,,
James Madden,Brisbane Lions,Defender,,,
Liam Stocker,Carlton,Defender,,,
Isaac Quaynor,Collingwood,Defender,,,
John Noble,Collingwood,Defender,,,
Jason Carter,Fremantle,Defender,,,
Oscar Brownless,Geelong Cats,Defender,,,
Stefan Okunbor,Geelong Cats,Defender,,,
Jez McLennan,Gold Coast Suns,Defender,,,
Harrison Wigg,Gold Coast Suns,Defender,,,
Jake Stein,GWS Giants,Defender,,,
Callum M Brown,GWS Giants,Defender,,,
Damon Greaves,Hawthorn,Defender,,,
Guy Walker,Melbourne,Defender,,,
Joel Crocker,North Melbourne,Defender,,,
Joel Garner,Port Adelaide,Defender,,,
Martin Frederick,Port Adelaide,Defender,,,
Cam Hewett,Port Adelaide,Defender,,,
Sydney Stack,Richmond,Defender,,,
Derek Eggmolesse-Smith,Richmond,Defender,,,
Doulton Langlands,St Kilda,Defender,,,
Matthew Ling,Sydney Swans,Defender,,,
Harry Reynolds,Sydney Swans,Defender,,,
Durak Tucker,Sydney Swans,Defender,,,
Josh Rotham,West Coast Eagles,Defender,,,
Francis Watson,West Coast Eagles,Defender,,,
Luke Foley,West Coast Eagles,Defender,,,
Brodie Riach,West Coast Eagles,Defender,,,
Laitham Vandermeer,Western Bulldogs,Defender,,,
Jack Silvagni,Carlton,Forward,,,
Darcy Moore,Collingwood,Forward,,,
Jackson Merrett,Essendon,Forward,,,
