Player,Team,Position,,,
Liam Baker,Richmond,Forward,,,
Jack Billings,St Kilda,Forward,,,
Josh Bruce,St Kilda,Forward,,,
Jade Gresham,St Kilda,Forward,,,
Ben Long,St Kilda,Forward,,,
Paddy McCartin,St Kilda,Forward,,,
Tim Membrey,St Kilda,Forward,,,
Rowan Marshall,St Kilda,Forward,,,
Nathan Wright,St Kilda,Forward,,,
Jack Lonie,St Kilda,Forward,,,
Maverick Weller,St Kilda,Forward,,,
Josh Battle,St Kilda,Forward,,,
Lance Franklin,Sydney,Forward,,,
Will Hayward,Sydney,Forward,,,
Tom Papley,Sydney,Forward,,,
Dean Towers,Sydney,Forward,,,
Gary Rohan,Sydney,Forward,,,
Sam Reid,Sydney,Forward,,,
Dan Robinson,Sydney,Forward,,,
Ben Ronke,Sydney,Forward,,,
Tom McCartin,Sydney,Forward,,,
Ryley Stoddart,Sydney,Forward,,,
James Rose,Sydney,Forward,,,
Jamie Cripps,West Coast,Forward,,,
Jack Darling,West Coast,Forward,,,
Mark LeCras,West Coast,Forward,,,
Liam Ryan,West Coast,Forward,,,
Daniel Venables,West Coast,Forward,,,
Jake Waterman,West Coast,Forward,,,
Willie Rioli,West Coast,Forward,,,
Josh J Kennedy,West Coast,Forward,,,
Jack Petruccelle,West Coast,Forward,,,
Brendon Ah Chee,West Coast,Forward,,,
Jarrod Brander,West Coast,Forward,,,
Billy Gowers,Western Bulldogs,Forward,,,
Mitch Honeychurch,Western Bulldogs,Forward,,,
Caleb Daniel,Western Bulldogs,Forward,,,
Lukas Webb,Western Bulldogs,Forward,,,
Tory Dickson,Western Bulldogs,Forward,,,
Jack Redpath,Western Bulldogs,Forward,,,
Josh Schache,Western Bulldogs,Forward,,,
Fergus Greene,Western Bulldogs,Forward,,,
Troy Menzel,Adelaide,Forward,,,
Jonathon Beech,Adelaide,Forward,,,
Michael Close,Brisbane Lions,Forward,,,
Dennis Armfield,Carlton,Forward,,,
Rhys Palmer,Carlton,Forward,,,
Liam Sumner,Carlton,Forward,,,
Jesse White,Collingwood,Forward,,,
Jamie Elliott,Collingwood,Forward,,,
Kayle Kirby,Collingwood,Forward,,,
Ryan Davis,Gold Coast,Forward,,,
Jarrad Grant,Gold Coast,Forward,,,
Steve Johnson,Greater Western Sydney,Forward,,,
Ty Vickery,Hawthorn,Forward,,,
Kade Stewart,Hawthorn,Forward,,,
Taylor Garner,North Melbourne,Forward,,,
Nick Larkey,North Melbourne,Forward,,,
Brett Eddy,Port Adelaide,Forward,,,
Angus Monfries,Port Adelaide,Forward,,,
Ben Griffiths,Richmond,Forward,,,
Ben Lennon,Richmond,Forward,,,
Todd Elton,Richmond,Forward,,,
Tyson Stengle,Richmond,Forward,,,
Nick Riewoldt,St Kilda,Forward,,,
Josh Hill,West Coast,Forward,,,
Drew Petrie,West Coast,Forward,,,
Malcolm Karpany,West Coast,Forward,,,
Luke Partington,West Coast,Forward,,,
Travis Cloke,Western Bulldogs,Forward,,,
Liam Picken,Western Bulldogs,Forward,,,
Clay Smith,Western Bulldogs,Forward,,,
Jonathan Freeman,Brisbane Lions,Forward,,,
Jackson Paine,Brisbane Lions,Forward,,,
Andrejs Everitt,Carlton,Forward,,,
Corey Gault,Collingwood,Forward,,,
Adam Cooney,Essendon,Forward,,,
Nick Kommer,Essendon,Forward,,,
Will Hams,Essendon,Forward,,,
Matthew Pavlich,Fremantle,Forward,,,
Matthew de Boer,Fremantle,Forward,,,
Shane Yarran,Fremantle,Forward,,,
Mitch Clark,Geelong,Forward,,,
Harrison Himmelberg,Greater Western Sydney,Forward,,,
Matt Jones,Melbourne,Forward,,,
Ben Kennedy,Melbourne,Forward,,,
Chris Dawes,Melbourne,Forward,,,
Brent Harvey,North Melbourne,Forward,,,
Robin Nahas,North Melbourne,Forward,,,
Jay Schulz,Port Adelaide,Forward,,,
Paul Stewart,Port Adelaide,Forward,,,
John Butcher,Port Adelaide,Forward,,,
Jesse Palmer,Port Adelaide,Forward,,,
Liam McBean,Richmond,Forward,,,
Nathan Drummond,Richmond,Forward,,,
Mabior Chol,Richmond,Forward,,,
Eli Templeton,St Kilda,Forward,,,
Brodie Murdoch,St Kilda,Forward,,,
Ben McGlynn,Sydney,Forward,,,
Patrick McGinnity,West Coast,Forward,,,
Simon Tunbridge,West Coast,Forward,,,
Brent Staker,Brisbane Lions,Forward,,,
Luke McGuane,Brisbane Lions,Forward,,,
David Ellard,Carlton,Forward,,,
Blaine Johnson,Carlton,Forward,,,
Patrick Karnezis,Collingwood,Forward,,,
Paul Chapman,Essendon,Forward,,,
Max Duffy,Fremantle,Forward,,,
Michael Luxford,Geelong,Forward,,,
Danny Stanley,Gold Coast,Forward,,,
Josh Hall,Gold Coast,Forward,,,
Nathan Gordon,Richmond,Forward,,,
Chris Knights,Richmond,Forward,,,
Ahmed Saad,St Kilda,Forward,,,
Adam Schneider,St Kilda,Forward,,,
Tom Curren,St Kilda,Forward,,,
Josh Saunders,St Kilda,Forward,,,
Adam Goodes,Sydney,Forward,,,
Tom Lamb,West Coast,Forward,,,
Murray Newman,West Coast,Forward,,,
Lewis Johnston,Adelaide,Forward,,,
James Podsiadly,Adelaide,Forward,,,
Jason Porplyzia,Adelaide,Forward,,,
Jared Petrenko,Adelaide,Forward,,,
Jonathan Brown,Brisbane Lions,Forward,,,
Jordan Lisle,Brisbane Lions,Forward,,,
Ashley McGrath,Brisbane Lions,Forward,,,
Leroy Jetta,Essendon,Forward,,,
Cory DellOlio,Essendon,Forward,,,
Colin Sylvia,Fremantle,Forward,,,
George Burbury,Geelong,Forward,,,
Timmy Sumner,Gold Coast,Forward,,,
Louis Herbert,Gold Coast,Forward,,,
Dylan Addison,Greater Western Sydney,Forward,,,
Shannon Byrnes,Melbourne,Forward,,,
Luke Tapscott,Melbourne,Forward,,,
Leigh Adams,North Melbourne,Forward,,,
Jake King,Richmond,Forward,,,
Aaron Edwards,Richmond,Forward,,,
Brett OHanlon,Richmond,Forward,,,
Beau Maister,St Kilda,Forward,,,
Arryn Siposs,St Kilda,Forward,,,
Terry Milera,St Kilda,Forward,,,
Trent Dennis-Lane,St Kilda,Forward,,,
Spencer White,St Kilda,Forward,,,
Daniel Giansiracusa,Western Bulldogs,Forward,,,
Tom Williams,Western Bulldogs,Forward,,,
Ian Callinan,Adelaide,Forward,,,
Aaron Cornelius,Brisbane Lions,Forward,,,
Quinten Lynch,Collingwood,Forward,,,
Andrew Krakouer,Collingwood,Forward,,,
Caolan Mooney,Collingwood,Forward,,,
Alan Didak,Collingwood,Forward,,,
Alwyn Davey,Essendon,Forward,,,
Scott Gumbleton,Essendon,Forward,,,
Kepler Bradley,Fremantle,Forward,,,
Josh Mellington,Fremantle,Forward,,,
Campbell Brown,Gold Coast,Forward,,,
Liam Patrick,Gold Coast,Forward,,,
Jacob Gillbee,Gold Coast,Forward,,,
Nathan Bock,Gold Coast,Forward,,,
Michael Osborne,Hawthorn,Forward,,,
Aaron Davey,Melbourne,Forward,,,
Kieran Harper,North Melbourne,Forward,,,
Daniel Stewart,Port Adelaide,Forward,,,
Cameron Hitchcock,Port Adelaide,Forward,,,
Stephen Milne,St Kilda,Forward,,,
Justin Koschitzke,St Kilda,Forward,,,
Mitch Morton,Sydney,Forward,,,
Tommy Walsh,Sydney,Forward,,,
Ashton Hams,West Coast,Forward,,,
Tim McIntyre,Adelaide,Forward,,,
Todd Banfield,Brisbane Lions,Forward,,,
Amon Buchanan,Brisbane Lions,Forward,,,
Andrew Collins,Carlton,Forward,,,
Luke Mitchell,Carlton,Forward,,,
Kirk Ugle,Collingwood,Forward,,,
Kyle Reimers,Essendon,Forward,,,
Adam McPhee,Fremantle,Forward,,,
John Anthony,Fremantle,Forward,,,
Andrew McQualter,Gold Coast,Forward,,,
Alik Magin,Gold Coast,Forward,,,
Israel Folau,Greater Western Sydney,Forward,,,
Rhys Cooyou,Greater Western Sydney,Forward,,,
Jarrad Boumann,Hawthorn,Forward,,,
Matthew Bate,Melbourne,Forward,,,
Brad Green,Melbourne,Forward,,,
Liam Jurrah,Melbourne,Forward,,,
Matt Campbell,North Melbourne,Forward,,,
Ben Warren,North Melbourne,Forward,,,
Brett Ebert,Port Adelaide,Forward,,,
Simon Phillips,Port Adelaide,Forward,,,
Addam Maric,Richmond,Forward,,,
Brad Miller,Richmond,Forward,,,
Andrew Strijk,West Coast,Forward,,,
Nathan Djerrkura,Western Bulldogs,Forward,,,
Zephaniah Skinner,Western Bulldogs,Forward,,,
Andrew Hooper,Western Bulldogs,Forward,,,
Richard Douglas,Adelaide,Forward,,,
Riley Knight,Adelaide,Forward,,,
Mitch Robinson,Brisbane Lions,Forward,,,
Rohan Bewick,Brisbane Lions,Forward,,,
Rhys Mathieson,Brisbane Lions,Forward,,,
Zac Bailey,Brisbane Lions,Forward,,,
Brandon Starcevich,Brisbane Lions,Forward,,,
Paddy Dow,Carlton,Forward,,,
Zac Fisher,Carlton,Forward,,,
Nick Graham,Carlton,Forward,,,
Darcy Lang,Carlton,Forward,,,
Tim Broomhead,Collingwood,Forward,,,
Kyle Langford,Essendon,Forward,,,
Darcy Parish,Essendon,Forward,,,
Devon Smith,Essendon,Forward,,,
Travis Colyer,Essendon,Forward,,,
Bailey Banfield,Fremantle,Forward,,,
David Mundy,Fremantle,Forward,,,
Michael Walters,Fremantle,Forward,,,
Tim Kelly,Geelong,Forward,,,
Sam Menegola,Geelong,Forward,,,
Patrick Dangerfield,Geelong,Forward,,,
Jack Martin,Gold Coast,Forward,,,
Michael Barlow,Gold Coast,Forward,,,
Ryan Griffen,Greater Western Sydney,Forward,,,
Aiden Bonar,Greater Western Sydney,Forward,,,
Will Langford,Hawthorn,Forward,,,
Harry Morrison,Hawthorn,Forward,,,
James Worpel,Hawthorn,Forward,,,
Christian Petracca,Melbourne,Forward,,,
Aaron Vandenberg,Melbourne,Forward,,,
Steven Motlop,Port Adelaide,Forward,,,
Chad Wingard,Port Adelaide,Forward,,,
Robbie Gray,Port Adelaide,Forward,,,
Shane Edwards,Richmond,Forward,,,
Blake Acres,St Kilda,Forward,,,
David Armitage,St Kilda,Forward,,,
Jack Newnes,St Kilda,Forward,,,
Isaac Heeney,Sydney,Forward,,,
Kieren Jack,Sydney,Forward,,,
Luke Dahlhaus,Western Bulldogs,Forward,,,
Bailey Dale,Western Bulldogs,Forward,,,
Josh Dunkley,Western Bulldogs,Forward,,,
Toby McLean,Western Bulldogs,Forward,,,
Lin Jong,Western Bulldogs,Forward,,,
Mitch Wallis,Western Bulldogs,Forward,,,
Patrick Lipinski,Western Bulldogs,Forward,,,
Jarrad Jansen,Brisbane Lions,Forward,,,
Billie Smedts,Carlton,Forward,,,
Blaine Boekhorst,Carlton,Forward,,,
Ben Howlett,Essendon,Forward,,,
Harley Balic,Fremantle,Forward,,,
Josh Deluca,Fremantle,Forward,,,
Will Setterfield,Greater Western Sydney,Forward,,,
Matt White,Port Adelaide,Forward,,,
Jordan Foote,Sydney,Forward,,,
Brandon Jack,Sydney,Forward,,,
Billy Evans,Brisbane Lions,Forward,,,
Jonathan Simpkin,Essendon,Forward,,,
Mathew Stokes,Essendon,Forward,,,
Shaun Edwards,Essendon,Forward,,,
Luke Russell,Gold Coast,Forward,,,
Ben Newton,Melbourne,Forward,,,
Jack Hiscox,Sydney,Forward,,,
Mitch Grigg,Adelaide,Forward,,,
Brodie Martin,Adelaide,Forward,,,
Sam Blease,Geelong,Forward,,,
Rohan Bail,Melbourne,Forward,,,
Ricky Petterd,Richmond,Forward,,,
Josh Simpson,Fremantle,Forward,,,
Brad Hartman,Geelong,Forward,,,
Nathan Foley,Richmond,Forward,,,
Jude Bolton,Sydney,Forward,,,
Luke Power,Greater Western Sydney,Forward,,,
Justin Sherman,Western Bulldogs,Forward,,,
Tom Lynch,Adelaide Crows,Forward,,,
Chayce Jones,Adelaide Crows,Forward,,,
Ben Davis,Adelaide Crows,Forward,,,
Shane McAdam,Adelaide Crows,Forward,,,
Cam Rayner,Brisbane Lions,Forward,,,
Thomas Berry,Brisbane Lions,Forward,,,
Connor McFadyen,Brisbane Lions,Forward,,,
Michael Gibbons,Carlton,Forward,,,
Kym Lebois,Carlton,Forward,,,
Matthew Owies,Carlton,Forward,,,
Atu Bosenavulagi,Collingwood,Forward,,,
Anton Tohill,Collingwood,Forward,,,
Jordan Houlahan,Essendon,Forward,,,
Irving Mosquito,Essendon,Forward,,,
Brett Bewley,Fremantle,Forward,,,
Lachie Schultz,Fremantle,Forward,,,
Sam Sturt,Fremantle,Forward,,,
Gryan Miers,Geelong Cats,Forward,,,
Tom Atkins,Geelong Cats,Forward,,,
Jake Tarca,Geelong Cats,Forward,,,
Connor Nutting,Gold Coast Suns,Forward,,,
Izak Rankine,Gold Coast Suns,Forward,,,
Bobby Hill,GWS Giants,Forward,,,
Dylan Moore,Hawthorn,Forward,,,
Changkuoth Jiath,Hawthorn,Forward,,,
Mathew Walker,Hawthorn,Forward,,,
Jay Lockhart,Melbourne,Forward,,,
Kyle Dunkley,Melbourne,Forward,,,
Tom Sparrow,Melbourne,Forward,,,
Toby Bedford,Melbourne,Forward,,,
Tarryn Thomas,North Melbourne,Forward,,,
Curtis Taylor,North Melbourne,Forward,,,
Lachlan Hosie,North Melbourne,Forward,,,
Red Og Murphy,North Melbourne,Forward,,,
Tom Wilkinson,North Melbourne,Forward,,,
Connor Rozee,Port Adelaide,Forward,,,
Zak Butters,Port Adelaide,Forward,,,
Tobin Cox,Port Adelaide,Forward,,,
Boyd Woodcock,Port Adelaide,Forward,,,
Jake Aarts,Richmond,Forward,,,
Nick Hind,St Kilda,Forward,,,
Matthew Parker,St Kilda,Forward,,,
Robbie Young,St Kilda,Forward,,,
Jarrod Cameron,West Coast Eagles,Forward,,,
Ben Cavarra,Western Bulldogs,Forward,,,
Jordon Butts,Adelaide Crows,Key Defender,,,
Jack Payne,Brisbane Lions,Key Defender,,,
Ben Silvagni,Carlton,Key Defender,,,
Mark Keane,Collingwood,Key Defender,,,
Brandon Zerk-Thatcher,Essendon,Key Defender,,,
Dillon OReilly,Fremantle,Key Defender,,,
Tobe Watson,Fremantle,Key Defender,,,
Ben Jarvis,Geelong Cats,Key Defender,,,
Caleb Graham,Gold Coast Suns,Key Defender,,,
Connor Idun,GWS Giants,Key Defender,,,
Jacob Koschitzke,Hawthorn,Key Defender,,,
Marty Hore,Melbourne,Key Defender,,,
Declan Watson,North Melbourne,Key Defender,,,
Riley Grundy,Port Adelaide,Key Defender,,,
Ben Miller,Richmond,Key Defender,,,
Callum Wilkie,St Kilda,Key Defender,,,
Oscar Clavarino,St Kilda,Key Defender,,,
Jack Maibaum,Sydney Swans,Key Defender,,,
Toby Pink,Sydney Swans,Key Defender,,,
Harry Edwards,West Coast Eagles,Key Defender,,,
Lachie Young,Western Bulldogs,Key Defender,,,
Buku Khamis,Western Bulldogs,Key Defender,,,
Kieran Strachan,Adelaide Crows,Key Forward,,,
Connor Ballenden,Brisbane Lions,Key Forward,,,
Tom Fullarton,Brisbane Lions,Key Forward,,,
Patrick Kerr,Carlton,Key Forward,,,
Finbar ODwyer,Carlton,Key Forward,,,
Will Kelly,Collingwood,Key Forward,,,
Noah Gown,Essendon,Key Forward,,,
Luke Lavender,Essendon,Key Forward,,,
Hugh Dixon,Fremantle,Key Forward,,,
Darcy Fort,Geelong Cats,Key Forward,,,
Nathan Kreuger,Geelong Cats,Key Forward,,,
Blake Schlensog,Geelong Cats,Key Forward,,,
Jack Lukosius,Gold Coast Suns,Key Forward,,,
Chris Burgess,Gold Coast Suns,Key Forward,,,
Ben King,Gold Coast Suns,Key Forward,,,
Josh Corbett,Gold Coast Suns,Key Forward,,,
Zach Sproule,GWS Giants,Key Forward,,,
Kieren Briggs,GWS Giants,Key Forward,,,
Jackson Ross,Hawthorn,Key Forward,,,
Declan Keilty,Melbourne,Key Forward,,,
Peter Ladhams,Port Adelaide,Key Forward,,,
Noah Balta,Richmond,Key Forward,,,
Max King,St Kilda,Key Forward,,,
Jack Mayo,St Kilda,Key Forward,,,
Nick Blakey,Sydney Swans,Key Forward,,,
Hayden McLean,Sydney Swans,Key Forward,,,
Patrick Bines,West Coast Eagles,Key Forward,,,
Ryan Gardner,Western Bulldogs,Key Forward,,,
Rory Atkins,Adelaide,Midfield,,,
Matt Crouch,Adelaide,Midfield,,,
Cam Ellis-Yolmen,Adelaide,Midfield,,,
Bryce Gibbs,Adelaide,Midfield,,,
Hugh Greenwood,Adelaide,Midfield,,,
Curtly Hampton,Adelaide,Midfield,,,
Paul Seedsman,Adelaide,Midfield,,,
Rory Sloane,Adelaide,Midfield,,,
Sam Gibson,Adelaide,Midfield,,,
Patrick Wilson,Adelaide,Midfield,,,
Dayne Beams,Brisbane Lions,Midfield,,,
Jarrod Berry,Brisbane Lions,Midfield,,,
Hugh McCluggage,Brisbane Lions,Midfield,,,
Dayne Zorko,Brisbane Lions,Midfield,,,
Tom Cutler,Brisbane Lions,Midfield,,,
Ryan Bastinac,Brisbane Lions,Midfield,,,
Ben Keays,Brisbane Lions,Midfield,,,
Patrick Cripps,Carlton,Midfield,,,
Ed Curnow,Carlton,Midfield,,,
Matthew Kennedy,Carlton,Midfield,,,
Marc Murphy,Carlton,Midfield,,,
Lochie OBrien,Carlton,Midfield,,,
Sam Kerridge,Carlton,Midfield,,,
Matt Shaw,Carlton,Midfield,,,
Taylor Adams,Collingwood,Midfield,,,
Scott Pendlebury,Collingwood,Midfield,,,
Tom Phillips,Collingwood,Midfield,,,
Steele Sidebottom,Collingwood,Midfield,,,
Adam Treloar,Collingwood,Midfield,,,
Chris Mayne,Collingwood,Midfield,,,
Brayden Sier,Collingwood,Midfield,,,
Dyson Heppell,Essendon,Midfield,,,
Zach Merrett,Essendon,Midfield,,,
David Zaharakis,Essendon,Midfield,,,
David Myers,Essendon,Midfield,,,
Matt Guelfi,Essendon,Midfield,,,
Kobe Mutch,Essendon,Midfield,,,
Dylan Clarke,Essendon,Midfield,,,
Jake Long,Essendon,Midfield,,,
Andrew Brayshaw,Fremantle,Midfield,,,
Nat Fyfe,Fremantle,Midfield,,,
Bradley Hill,Fremantle,Midfield,,,
Ed Langdon,Fremantle,Midfield,,,
Lachie Neale,Fremantle,Midfield,,,
Darcy Tucker,Fremantle,Midfield,,,
Tom Sheridan,Fremantle,Midfield,,,
Gary Ablett,Geelong,Midfield,,,
Mitch Duncan,Geelong,Midfield,,,
Jordan Murdoch,Geelong,Midfield,,,
Joel Selwood,Geelong,Midfield,,,
Scott Selwood,Geelong,Midfield,,,
Jordan Cunico,Geelong,Midfield,,,
George Horlin-Smith,Geelong,Midfield,,,
Jackson Thurlow,Geelong,Midfield,,,
Sam Simpson,Geelong,Midfield,,,
Jack Bowes,Gold Coast,Midfield,,,
Brayden Fiorini,Gold Coast,Midfield,,,
Jarryd Lyons,Gold Coast,Midfield,,,
Touk Miller,Gold Coast,Midfield,,,
Matt Rosa,Gold Coast,Midfield,,,
David Swallow,Gold Coast,Midfield,,,
Aaron Hall,Gold Coast,Midfield,,,
Jesse Lonergan,Gold Coast,Midfield,,,
Will Brodie,Gold Coast,Midfield,,,
Josh Schoenfeld,Gold Coast,Midfield,,,
Jacob Dawson,Gold Coast,Midfield,,,
Stephen Coniglio,Greater Western Sydney,Midfield,,,
Brett Deledio,Greater Western Sydney,Midfield,,,
Josh Kelly,Greater Western Sydney,Midfield,,,
Dylan Shiel,Greater Western Sydney,Midfield,,,
Tim Taranto,Greater Western Sydney,Midfield,,,
Adam Tomlinson,Greater Western Sydney,Midfield,,,
Callan Ward,Greater Western Sydney,Midfield,,,
Tom Scully,Greater Western Sydney,Midfield,,,
Jacob Hopper,Greater Western Sydney,Midfield,,,
Nick Shipley,Greater Western Sydney,Midfield,,,
Shaun Burgoyne,Hawthorn,Midfield,,,
Ricky Henderson,Hawthorn,Midfield,,,
Daniel Howe,Hawthorn,Midfield,,,
Tom Mitchell,Hawthorn,Midfield,,,
Jaeger OMeara,Hawthorn,Midfield,,,
Liam Shiels,Hawthorn,Midfield,,,
Isaac Smith,Hawthorn,Midfield,,,
James Cousins,Hawthorn,Midfield,,,
Jonathan ORourke,Hawthorn,Midfield,,,
Bayley Fritsch,Melbourne,Midfield,,,
James Harmes,Melbourne,Midfield,,,
Nathan Jones,Melbourne,Midfield,,,
Corey Maynard,Melbourne,Midfield,,,
Clayton Oliver,Melbourne,Midfield,,,
Tomas Bugg,Melbourne,Midfield,,,
Dom Tyson,Melbourne,Midfield,,,
Angus Brayshaw,Melbourne,Midfield,,,
Billy Stretch,Melbourne,Midfield,,,
Jack Viney,Melbourne,Midfield,,,
Jay Kennedy Harris,Melbourne,Midfield,,,
Jed Anderson,North Melbourne,Midfield,,,
Ben Cunnington,North Melbourne,Midfield,,,
Luke Davies-Uniacke,North Melbourne,Midfield,,,
Trent Dumont,North Melbourne,Midfield,,,
Billy Hartung,North Melbourne,Midfield,,,
Shaun Higgins,North Melbourne,Midfield,,,
Ben Jacobs,North Melbourne,Midfield,,,
Paul Ahern,North Melbourne,Midfield,,,
Dom Barry,Port Adelaide,Midfield,,,
Brad Ebert,Port Adelaide,Midfield,,,
Jared Polec,Port Adelaide,Midfield,,,
Sam Powell-Pepper,Port Adelaide,Midfield,,,
Tom Rockliff,Port Adelaide,Midfield,,,
Ollie Wines,Port Adelaide,Midfield,,,
Karl Amon,Port Adelaide,Midfield,,,
Reece Conca,Richmond,Midfield,,,
Trent Cotchin,Richmond,Midfield,,,
Jack Graham,Richmond,Midfield,,,
Shaun Grigg,Richmond,Midfield,,,
Dustin Martin,Richmond,Midfield,,,
Kamdyn McIntosh,Richmond,Midfield,,,
Sam Lloyd,Richmond,Midfield,,,
Dion Prestia,Richmond,Midfield,,,
Anthony Miles,Richmond,Midfield,,,
Sebastian Ross,St Kilda,Midfield,,,
Jack Sinclair,St Kilda,Midfield,,,
Jack Steele,St Kilda,Midfield,,,
Jack Steven,St Kilda,Midfield,,,
Koby Stevens,St Kilda,Midfield,,,
Luke Dunstan,St Kilda,Midfield,,,
Ed Phillips,St Kilda,Midfield,,,
Nathan Freeman,St Kilda,Midfield,,,
Harry Cunningham,Sydney,Midfield,,,
Oliver Florent,Sydney,Midfield,,,
George Hewett,Sydney,Midfield,,,
Josh P Kennedy,Sydney,Midfield,,,
Luke Parker,Sydney,Midfield,,,
Dan Hannebery,Sydney,Midfield,,,
Jordan Dawson,Sydney,Midfield,,,
Andrew Gaff,West Coast,Midfield,,,
Chris Masten,West Coast,Midfield,,,
Jack Redden,West Coast,Midfield,,,
Dom Sheed,West Coast,Midfield,,,
Luke Shuey,West Coast,Midfield,,,
Elliot Yeo,West Coast,Midfield,,,
Mark Hutchings,West Coast,Midfield,,,
Brayden Ainsworth,West Coast,Midfield,,,
Marcus Bontempelli,Western Bulldogs,Midfield,,,
Lachie Hunter,Western Bulldogs,Midfield,,,
Tom Liberatore,Western Bulldogs,Midfield,,,
Jack Macrae,Western Bulldogs,Midfield,,,
Brad Crouch,Adelaide,Midfield,,,
Scott Thompson,Adelaide,Midfield,,,
Claye Beams,Brisbane Lions,Midfield,,,
Rupert Wills,Collingwood,Midfield,,,
Brent Stanton,Essendon,Midfield,,,
Jobe Watson,Essendon,Midfield,,,
Heath Hocking,Essendon,Midfield,,,
Craig Bird,Essendon,Midfield,,,
Nick Suban,Fremantle,Midfield,,,
Harley Bennell,Fremantle,Midfield,,,
Josh Cowan,Geelong,Midfield,,,
Mitch Hallahan,Gold Coast,Midfield,,,
Tendai Mzungu,Greater Western Sydney,Midfield,,,
Dallas Willsmore,Hawthorn,Midfield,,,
Andrew Swallow,North Melbourne,Midfield,,,
Corey Wagner,North Melbourne,Midfield,,,
Josh Williams,North Melbourne,Midfield,,,
Jimmy Toumpas,Port Adelaide,Midfield,,,
Joe Atley,Port Adelaide,Midfield,,,
Darren Minchington,St Kilda,Midfield,,,
Sam Mitchell,West Coast,Midfield,,,
Matt Priddis,West Coast,Midfield,,,
Josh Clayton,Brisbane Lions,Midfield,,,
Mark Whiley,Carlton,Midfield,,,
Jason Tutt,Carlton,Midfield,,,
Brent Macaffer,Collingwood,Midfield,,,
Dane Swan,Collingwood,Midfield,,,
Matthew Goodyear,Collingwood,Midfield,,,
Ryan Crowley,Essendon,Midfield,,,
James Polkinghorne,Essendon,Midfield,,,
Kieran Lovell,Hawthorn,Midfield,,,
Viv Michie,Melbourne,Midfield,,,
Nick Dal Santo,North Melbourne,Midfield,,,
Farren Ray,North Melbourne,Midfield,,,
Kane Mitchell,Port Adelaide,Midfield,,,
Will Snelling,Port Adelaide,Midfield,,,
Andrew Moore,Richmond,Midfield,,,
Adam Marcon,Richmond,Midfield,,,
Zac OBrien,Brisbane Lions,Midfield,,,
Andrew Carrazzo,Carlton,Midfield,,,
Chris Judd,Carlton,Midfield,,,
Brad Walsh,Carlton,Midfield,,,
Sam Dwyer,Collingwood,Midfield,,,
Elliott Kavanagh,Essendon,Midfield,,,
