Year,Round,Game,Away,Away Score,Home Field-A,Away State,LP-A
2019,round5,Game1,Collingwood,123,MCG,VIC,8
2019,round5,Game2,Essendon,116,Docklands,VIC,12
2019,round5,Game3,Port Adelaide,95,Adelaide Oval,SA,11
2019,round5,Game4,Fremantle,106,Perth Stadium,WA,7
2019,round5,Game5,St. Kilda,95,Docklands,VIC,5
2019,round5,Game6,Sydney,67,SCG,NSW,15
2019,round5,Game7,Carlton,101,Docklands,VIC,18
2019,round5,Game8,Gold Coast,46,Metricon,QLD,6
2019,round5,Game9,Geelong,113,Kardinia Park,VIC,1
2019,round6,Game1,Melbourne,42,MCG,VIC,17
2019,round6,Game2,Collingwood,73,MCG,VIC,4
2019,round6,Game3,North Melbourne,72,Docklands,VIC,18
2019,round6,Game4,Brisbane,111,Gabba,QLD,9
2019,round6,Game5,Adelaide,97,Adelaide Oval,SA,12
2019,round6,Game6,Greater Western Sydney,120,Sydney Showground,NSW,6
2019,round6,Game7,Western Bulldogs,69,Docklands,VIC,14
2019,round6,Game8,Carlton,88,Docklands,VIC,15
2019,round6,Game9,West Coast,46,Perth Stadium,WA,8
2019,round7,Game1,Port Adelaide,69,Adelaide Oval,SA,5
2019,round7,Game2,Hawthorn,74,MCG,VIC,11
2019,round7,Game3,St. Kilda,70,Docklands,VIC,6
2019,round7,Game4,Sydney,81,SCG,NSW,16
2019,round7,Game5,Richmond,52,MCG,VIC,8
2019,round7,Game6,Gold Coast,57,Metricon,QLD,13
2019,round7,Game7,North Melbourne,120,Docklands,VIC,17
2019,round7,Game8,Essendon,54,Docklands,VIC,10
2019,round7,Game9,Fremantle,34,Perth Stadium,WA,2
2019,round8,Game1,Essendon,72,Docklands,VIC,11
2019,round8,Game2,Brisbane,76,Gabba,QLD,4
2019,round8,Game3,Collingwood,106,MCG,VIC,2
2019,round8,Game4,Melbourne,61,MCG,VIC,16
2019,round8,Game5,West Coast,88,Perth Stadium,WA,10
2019,round8,Game6,Adelaide,88,Adelaide Oval,SA,6
2019,round8,Game7,Geelong,104,Kardinia Park,VIC,1
2019,round8,Game8,Greater Western Sydney,38,Sydney Showground,NSW,3
2019,round8,Game9,Richmond,111,MCG,VIC,9
2019,round9,Game1,Melbourne,69,MCG,VIC,15
2019,round9,Game2,St. Kilda,71,Docklands,VIC,12
2019,round9,Game3,Adelaide,92,Adelaide Oval,SA,3
2019,round9,Game4,Western Bulldogs,89,Docklands,VIC,10
2019,round9,Game5,Fremantle,53,Perth Stadium,WA,8
2019,round9,Game6,Sydney,77,SCG,NSW,16
2019,round9,Game7,Gold Coast,51,Metricon,QLD,14
2019,round9,Game8,Hawthorn,59,MCG,VIC,9
2019,round9,Game9,Carlton,45,Docklands,VIC,18
2019,round10,Game1,Collingwood,80,MCG,VIC,2
2019,round10,Game2,Port Adelaide,49,Adelaide Oval,SA,8
2019,round10,Game3,North Melbourne,115,Docklands,VIC,17
2019,round10,Game4,West Coast,85,Perth Stadium,WA,6
2019,round10,Game5,Geelong,91,Kardinia Park,VIC,1
2019,round10,Game6,Essendon,50,Docklands,VIC,10
2019,round10,Game7,Greater Western Sydney,94,Sydney Showground,NSW,3
2019,round10,Game8,Carlton,55,Docklands,VIC,18
2019,round10,Game9,Brisbane,72,Gabba,QLD,4
2019,round11,1Game1,Richmond,62,MCG,VIC,4
2019,round11,1Game2,Fremantle,79,Perth Stadium,WA,8
2019,round11,1Game3,Gold Coast,43,Metricon,QLD,17
2019,round11,1Game4,Sydney,63,SCG,NSW,15
2019,round11,1Game5,Hawthorn,66,MCG,VIC,9
2019,round11,1Game6,Adelaide,90,Adelaide Oval,SA,7
2019,round11,1Game7,Port Adelaide,139,Adelaide Oval,SA,7
2019,round11,1Game8,Carlton,33,Docklands,VIC,18
2019,round11,1Game9,Western Bulldogs,72,Docklands,VIC,14
2019,round12,2Game1,Geelong,104,Kardinia Park,VIC,1
2019,round12,2Game2,Brisbane,63,Gabba,QLD,5
2019,round12,2Game3,North Melbourne,99,Docklands,VIC,13
2019,round12,2Game4,Greater Western Sydney,61,Sydney Showground,NSW,2
2019,round12,2Game5,West Coast,71,Perth Stadium,WA,4
2019,round12,2Game6,Melbourne,57,MCG,VIC,16
2019,round13,3Game1,Richmond,68,MCG,VIC,7
2019,round13,3Game2,Hawthorn,77,MCG,VIC,11
2019,round13,3Game3,St. Kilda,80,Docklands,VIC,13
2019,round13,3Game4,Port Adelaide,79,Adelaide Oval,SA,8
2019,round13,3Game5,Western Bulldogs,103,Docklands,VIC,15
2019,round13,3Game6,Greater Western Sydney,91,Sydney Showground,NSW,3
2019,round14,4Game1,Essendon,71,Docklands,VIC,10
2019,round14,4Game2,Hawthorn,63,MCG,VIC,12
2019,round14,4Game3,Fremantle,71,Perth Stadium,WA,6
2019,round14,4Game4,Brisbane,115,Gabba,QLD,7
2019,round14,4Game5,Geelong,56,Kardinia Park,VIC,1
2019,round14,4Game6,Collingwood,82,MCG,VIC,3
2019,round15,5Game1,Greater Western Sydney,71,Sydney Showground,NSW,3
2019,round15,5Game2,Adelaide,69,Adelaide Oval,SA,5
2019,round15,5Game3,West Coast,77,Perth Stadium,WA,4
