Year,Round,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2018,r23g7,Brisbane,72,Gabba,Gabba,QLD,15
2018,r23g8,Melbourne,102,MCG,MCG,VIC,7
2018,r23g9,St. Kilda,94,Docklands,Docklands,VIC,16
2017,r1g1,Carlton,89,MCG,Docklands,VIC,14
2017,r1g2,Collingwood,86,MCG,MCG,VIC,12
2017,r1g3,Sydney,82,SCG,SCG,NSW,1
2017,r1g4,St. Kilda,90,Docklands,Docklands,VIC,9
2017,r1g5,Essendon,116,MCG,Docklands,VIC,18
2017,r1g6,Gold Coast,96,Metricon,Metricon,QLD,15
2017,r1g7,North Melbourne,93,Docklands,Docklands,VIC,8
2017,r1g8,Adelaide,147,Adelaide Oval,Adelaide Oval,SA,5
2017,r1g9,Fremantle,73,Perth Stadium,Perth Stadium,WA,16
2017,r2g1,Richmond,99,MCG,MCG,VIC,3
