Year,Round,Away,Away Score,Home Field-A,Away State
2017,r1g1,Richmond,132,MCG,VIC
2017,r1g2,Western Bulldogs,100,Docklands,VIC
2017,r1g3,Port Adelaide,110,Adelaide Oval,SA
2017,r1g4,Melbourne,120,MCG,VIC
2017,r1g5,Hawthorn,91,MCG,VIC
2017,r1g6,Brisbane,98,Gabba,QLD
2017,r1g7,West Coast,136,Perth Stadium,WA
2017,r1g8,Greater Western Sydney,91,Sydney Showground,NSW
2017,r1g9,Geelong,115,Kardinia Park,VIC
2017,r2g1,Collingwood,80,MCG,VIC
2017,r2g2,Sydney,87,SCG,NSW
2017,r2g3,Adelaide,113,Adelaide Oval,SA
2017,r2g4,Gold Coast,58,Metricon,QLD
2017,r2g5,Essendon,111,Docklands,VIC
2017,r2g6,St. Kilda,97,Docklands,VIC
2017,r2g7,North Melbourne,111,Docklands,VIC
2017,r2g8,Carlton,64,Docklands,VIC
2017,r2g9,Fremantle,56,Perth Stadium,WA
2017,r3g1,Collingwood,80,MCG,VIC
2017,r3g2,Greater Western Sydney,109,Sydney Showground,NSW
2017,r3g3,West Coast,65,Perth Stadium,WA
2017,r3g4,Melbourne,97,MCG,VIC
2017,r3g5,Adelaide,100,Adelaide Oval,SA
2017,r3g6,Western Bulldogs,73,Docklands,VIC
2017,r3g7,Brisbane,76,Gabba,QLD
2017,r3g8,Essendon,42,Docklands,VIC
2017,r3g9,Hawthorn,53,MCG,VIC
2017,r4g1,Sydney,65,SCG,NSW
2017,r4g2,Western Bulldogs,89,Docklands,VIC
2017,r4g3,Fremantle,106,Perth Stadium,WA
2017,r4g4,Port Adelaide,81,Adelaide Oval,SA
2017,r4g5,Gold Coast,108,Metricon,QLD
2017,r4g6,Essendon,88,Docklands,VIC
2017,r4g7,St. Kilda,69,Docklands,VIC
2017,r4g8,Richmond,119,MCG,VIC
2017,r4g9,Geelong,134,Kardinia Park,VIC
2017,r5g1,Carlton,47,Docklands,VIC
2017,r5g2,Brisbane,90,Gabba,QLD
2017,r5g3,Adelaide,153,Adelaide Oval,SA
2017,r5g4,Greater Western Sydney,105,Sydney Showground,NSW
2017,r5g5,North Melbourne,62,Docklands,VIC
2017,r5g6,Geelong,126,Kardinia Park,VIC
2017,r5g7,West Coast,75,Perth Stadium,WA
2017,r5g8,Melbourne,75,MCG,VIC
2017,r5g9,Collingwood,82,MCG,VIC
2017,r6g1,Western Bulldogs,73,Docklands,VIC
2017,r6g2,St. Kilda,130,Docklands,VIC
2017,r6g3,Sydney,78,SCG,NSW
2017,r6g4,Port Adelaide,450,Adelaide Oval,SA
2017,r6g5,Gold Coast,94,Metricon,QLD
2017,r6g6,Fremantle,62,Perth Stadium,WA
2017,r6g7,Melbourne,112,MCG,VIC
2017,r6g8,Collingwood,107,MCG,VIC
2017,r6g9,Richmond,64,MCG,VIC
2017,r7g1,Greater Western Sydney,85,Sydney Showground,NSW
2017,r7g2,Adelaide,86,Adelaide Oval,SA
2017,r7g3,Carlton,79,Docklands,VIC
2017,r7g4,West Coast,97,Perth Stadium,WA
2017,r7g5,Geelong,99,Kardinia Park,VIC
2017,r7g6,Richmond,75,MCG,VIC
2017,r7g7,Brisbane,81,Gabba,QLD
2017,r7g8,Hawthorn,94,MCG,VIC
2017,r7g9,Essendon,79,Docklands,VIC
2017,r8g1,Western Bulldogs,61,Docklands,VIC
2017,r8g2,Brisbane,75,Gabba,QLD
2017,r8g3,Carlton,66,Docklands,VIC
2017,r8g4,Collingwood,99,MCG,VIC
2017,r8g5,Geelong,93,Kardinia Park,VIC
2017,r8g6,Melbourne,107,MCG,VIC
2017,r8g7,Fremantle,72,Perth Stadium,WA
2017,r8g8,Port Adelaide,110,Adelaide Oval,SA
2017,r8g9,Sydney,120,SCG,NSW
2017,r9g1,Western Bulldogs,81,Docklands,VIC
2017,r9g2,Sydney,118,SCG,NSW
2017,r9g3,Richmond,75,MCG,VIC
2017,r9g4,Adelaide,140,Adelaide Oval,SA
2017,r9g5,Hawthorn,72,MCG,VIC
2017,r9g6,West Coast,64,Perth Stadium,WA
2017,r9g7,North Melbourne,104,Docklands,VIC
2017,r9g8,Carlton,51,Docklands,VIC
2017,r10g1,Port Adelaide,79,Adelaide Oval,SA
2017,r10g2,Hawthorn,81,MCG,VIC
2017,r10g3,St. Kilda,50,Docklands,VIC
2017,r10g4,Gold Coast,87,Metricon,QLD
2017,r10g5,Essendon,66,Docklands,VIC
2017,r10g6,Fremantle,43,Perth Stadium,WA
2017,r10g7,Brisbane,84,Gabba,QLD
2017,r10g8,North Melbourne,113,Docklands,VIC
2017,r10g9,Greater Western Sydney,98,Sydney Showground,NSW
2017,r11g1,Hawthorn,47,MCG,VIC
2017,r11g2,Adelaide,74,Adelaide Oval,SA
2017,r11g3,West Coast,77,Perth Stadium,WA
2017,r11g4,Essendon,101,Docklands,VIC
2017,r11g5,Richmond,101,MCG,VIC
2017,r11g6,Collingwood,105,MCG,VIC
2017,r12g1,Western Bulldogs,42,Docklands,VIC
2017,r12g2,St. Kilda,54,Docklands,VIC
2017,r12g3,Gold Coast,95,Metricon,QLD
2017,r12g4,Fremantle,64,Perth Stadium,WA
2017,r12g5,Port Adelaide,61,Adelaide Oval,SA
2017,r12g6,Greater Western Sydney,70,Sydney Showground,NSW
2017,r12g7,Collingwood,100,MCG,VIC
2017,r13g1,Geelong,70,Kardinia Park,VIC
2017,r13g2,St. Kilda,89,Docklands,VIC
2017,r13g3,Sydney,80,SCG,NSW
2017,r13g4,Brisbane,81,Gabba,QLD
2017,r13g5,Carlton,83,Docklands,VIC
2017,r13g6,Melbourne,113,MCG,VIC
2017,r14g1,Hawthorn,96,MCG,VIC
2017,r14g2,Essendon,85,Docklands,VIC
2017,r14g3,Port Adelaide,93,Adelaide Oval,SA
2017,r14g4,Greater Western Sydney,146,Sydney Showground,NSW
2017,r14g5,North Melbourne,106,Docklands,VIC
2017,r14g6,Melbourne,99,MCG,VIC
2017,r14g7,Fremantle,72,Perth Stadium,WA
2017,r14g8,Carlton,58,Docklands,VIC
2017,r14g9,Gold Coast,72,Metricon,QLD
2017,r15g1,Sydney,85,SCG,NSW
2017,r15g2,West Coast,87,Perth Stadium,WA
2017,r15g3,Adelaide,89,Adelaide Oval,SA
2017,r15g4,North Melbourne,99,Docklands,VIC
2017,r15g5,Geelong,68,Kardinia Park,VIC
2017,r15g6,Richmond,76,MCG,VIC
2017,r15g7,Brisbane,90,Gabba,QLD
2017,r15g8,Collingwood,94,MCG,VIC
2017,r15g9,St. Kilda,89,Docklands,VIC
2017,r16g1,Western Bulldogs,45,Docklands,VIC
2017,r16g2,Brisbane,97,Gabba,QLD
2017,r16g3,Essendon,117,Docklands,VIC
2017,r16g4,Gold Coast,51,Metricon,QLD
2017,r16g5,Geelong,163,Kardinia Park,VIC
2017,r16g6,Richmond,71,MCG,VIC
2017,r16g7,Fremantle,86,Perth Stadium,WA
2017,r16g8,Melbourne,90,MCG,VIC
2017,r16g9,Port Adelaide,120,Adelaide Oval,SA
2017,r17g1,Essendon,118,Docklands,VIC
2017,r17g2,Hawthorn,85,MCG,VIC
2017,r17g3,North Melbourne,57,Docklands,VIC
