,Player,Team,Position,DOB,Age,Height,Weight,,,,
600,Sam Weideman,Melbourne,Forward,26 Jun 97,21yr,196cm,91kg,,,,
898,Rohan Bail,Melbourne,Forward,26 Jun 88,26yr,183cm,82kg,,,,
602,Charlie Spargo,Melbourne,Forward,25 Nov 99,19yr,172cm,70kg,,,,
126,Joel Smith,Melbourne,Defender,25 Feb 96,23yr,191cm,87kg,,,,
818,Matthew Bate,Melbourne,Forward,24 May 87,24yr,192cm,91kg,,,,
481,James Sellar,Melbourne,Forward,24 Mar 89,24yr,196cm,97kg,,,,
124,Josh Wagner,Melbourne,Defender,24 Jun 94,24yr,189cm,81kg,,,,
599,Dean Kent,Melbourne,Forward,24 Feb 94,24yr,179cm,82kg,,,,
120,Jordan Lewis,Melbourne,Defender,24 Apr 86,32yr,186cm,88kg,,,,
1179,Viv Michie,Melbourne,Midfield,23 Feb 92,24yr,185cm,85kg,,,,
820,Liam Jurrah,Melbourne,Forward,22 Sep 88,23yr,188cm,84kg,,,,
1090,Clayton Oliver,Melbourne,Midfield,22 Jul 97,21yr,187cm,86kg,,,,
1198,Jay Kennedy-Harris,Melbourne,Midfield,21 Mar 95,24yr,175cm,67kg,,,,
1199,Jordie McKenzie,Melbourne,Midfield,21 Jun 90,24yr,186cm,82kg,,,,
933,Kyle Dunkley,Melbourne,Forward,20 Jun 00,18yr,185cm,84kg,,,,
1088,Nathan Jones,Melbourne,Midfield,20 Jan 88,31yr,180cm,86kg,,,,
603,Tim Smith,Melbourne,Forward,20 Feb 91,28yr,192cm,94kg,,,,
1296,James Jordon,Melbourne,Midfield,20 Dec 00,18yr,186cm,81kg,,,,
123,Bernie Vince,Melbourne,Defender,2 Oct 85,32yr,186cm,87kg,,,,
340,Daniel Nicholson,Melbourne,Defender,2 Nov 90,23yr,183cm,81kg,,,,
601,Tom McDonald,Melbourne,Forward,18 Sep 92,26yr,194cm,94kg,,,,
717,Matt Jones,Melbourne,Forward,18 Oct 87,28yr,188cm,80kg,,,,
121,Oscar McDonald,Melbourne,Defender,18 Mar 96,23yr,196cm,82kg,,,,
1338,Cameron Pedersen,Melbourne,Ruck,17 Mar 87,31yr,193cm,96kg,,,,
1263,Tom Couch,Melbourne,Midfield,17 Jun 88,24yr,177cm,86kg,,,,
719,Chris Dawes,Melbourne,Forward,16 May 88,27yr,193cm,105kg,,,,
404,Clint Bartram,Melbourne,Defender,16 Feb 88,24yr,181cm,82kg,,,,
279,Heritier Lumumba,Melbourne,Defender,15 Nov 86,30yr,188cm,91kg,,,,
122,Christian Salem,Melbourne,Defender,15 Jul 95,23yr,185cm,78kg,,,,
368,James Strauss,Melbourne,Defender,14 Jun 90,23yr,185cm,84kg,,,,
819,Brad Green,Melbourne,Forward,13 Mar 81,31yr,184cm,83kg,,,,
1222,Michael Evans,Melbourne,Midfield,13 Jul 92,21yr,180cm,82kg,,,,
1295,Kade Chandler,Melbourne,Midfield,13 Jan 00,19yr,173cm,73kg,,,,
1200,Aidan Riley,Melbourne,Midfield,13 Dec 91,23yr,182cm,86kg,,,,
339,Dean Terlich,Melbourne,Defender,13 Dec 89,26yr,186cm,83kg,,,,
1095,Jack Viney,Melbourne,Midfield,13 Apr 94,25yr,178cm,82kg,,,,
443,Guy Walker,Melbourne,Defender,12 Sep 95,23yr,186cm,78kg,,,,
596,Jesse Hogan,Melbourne,Forward,12 Feb 95,24yr,195cm,97kg,,,,
118,Neville Jetta,Melbourne,Defender,12 Feb 90,29yr,180cm,81kg,,,,
1240,James Magner,Melbourne,Midfield,12 Aug 87,25yr,182cm,88kg,,,,
280,Jack Grimes,Melbourne,Defender,11 May 89,26yr,187cm,82kg,,,,
1264,Jordan Gysberts,Melbourne,Midfield,11 Jun 91,21yr,191cm,81kg,,,,
369,Joel Macdonald,Melbourne,Defender,10 Oct 84,28yr,188cm,87kg,,,,
371,Troy Davis,Melbourne,Defender,10 Jun 92,20yr,192cm,94kg,,,,
795,Aaron Davey,Melbourne,Forward,10 Jun 83,29yr,177cm,73kg,,,,
243,Mitch White,Melbourne,Defender,10 Apr 96,21yr,188cm,88kg,,,,
338,Alex Georgiou,Melbourne,Defender,1 Feb 90,24yr,187cm,94kg,,,,
127,Harry Petty,Melbourne,Defender,12-Nov-99,,197cm,83kg,,,,
1294,Oskar Baker,Melbourne,Midfield,25-May-98,,184cm,82kg,,,,
465,Jarman Impey,Hawthorn,Forward,9 Jul 95,23yr,178cm,76kg,,,,
590,Ryan Schoenmakers,Hawthorn,Forward,8 Nov 90,28yr,195cm,93kg,,,,
112,Kaiden Brand,Hawthorn,Defender,8 Apr 94,25yr,198cm,92kg,,,,
1292,Will Golds,Hawthorn,Midfield,6 May 00,18yr,183cm,72kg,,,,
110,James Sicily,Hawthorn,Defender,6 Jan 95,24yr,186cm,77kg,,,,
1372,Ben McEvoy,Hawthorn,Ruck,6 Aug 85,30yr,171cm,75kg,,,,
3830,AdamÿPattison,Hawthorn,Ruck,5 Mar 86,26yr,197cm,99kg,,,,
109,Blake Hardwick,Hawthorn,Defender,5 Feb 97,22yr,181cm,78kg,,,,
1218,Derick Wanganeen,Hawthorn,Midfield,5 Feb 91,23yr,174cm,75kg,,,,
1079,Daniel Howe,Hawthorn,Midfield,4 Dec 95,23yr,191cm,83kg,,,,
929,Dylan Moore,Hawthorn,Forward,4 Aug 99,19yr,176cm,66kg,,,,
1431,Ned Reeves,Hawthorn,Ruck,31 Oct 98,20yr,208cm,96kg,,,,
1080,Tom Mitchell,Hawthorn,Midfield,31 May 93,25yr,181cm,83kg,,,,
687,Ty Vickery,Hawthorn,Forward,31 May 90,27yr,200cm,98kg,,,,
106,Ryan Burton,Hawthorn,Defender,31 Jan 97,22yr,191cm,90kg,,,,
3826,ThomasÿSchneider,Hawthorn,Forward,30 Sep 92,19yr,178cm,78kg,,,,
1356,Cameron Bruce,Hawthorn,Ruck,30 Sep 79,32yr,190cm,86kg,,,,
1083,Isaac Smith,Hawthorn,Midfield,30 Dec 88,30yr,188cm,82kg,,,,
1373,Marc Pittonet,Hawthorn,Ruck,3 Jun 96,22yr,202cm,101kg,,,,
857,Will Langford,Hawthorn,Forward,3 Jul 92,26yr,187cm,83kg,,,,
1161,Dallas Willsmore,Hawthorn,Midfield,29 May 95,22yr,191cm,85kg,,,,
366,Brent Guerra,Hawthorn,Defender,29 May 82,30yr,182cm,88kg,,,,
794,Michael Osborne,Hawthorn,Forward,29 Jul 82,30yr,178cm,81kg,,,,
1082,Liam Shiels,Hawthorn,Midfield,29 Apr 91,27yr,183cm,84kg,,,,
113,Conor Glass,Hawthorn,Defender,28 Sep 97,21yr,189cm,84kg,,,,
586,Tim OBrien,Hawthorn,Forward,28 Mar 94,25yr,193cm,81kg,,,,
593,Conor Nash,Hawthorn,Forward,28 Jul 98,20yr,197cm,92kg,,,,
240,Grant Birchall,Hawthorn,Defender,28 Jan 88,31yr,193cm,91kg,,,,
315,Brian Lake,Hawthorn,Defender,27 Feb 82,33yr,195cm,100kg,,,,
1393,Jack Fitzpatrick,Hawthorn,Ruck,26 Jun 91,25yr,200cm,99kg,,,,
591,Brendan Whitecross,Hawthorn,Forward,25 Jan 90,28yr,183cm,86kg,,,,
442,Damon Greaves,Hawthorn,Defender,24 May 00,18yr,186cm,77kg,,,,
859,James Worpel,Hawthorn,Forward,24 Jan 99,20yr,185cm,86kg,,,,
107,Taylor Duryea,Hawthorn,Defender,24 Apr 91,27yr,179cm,80kg,,,,
1421,Max Bailey,Hawthorn,Ruck,23 Oct 86,26yr,206cm,100kg,,,,
3823,AmosÿFrank,Hawthorn,Forward,23 May 88,24yr,169cm,74kg,,,,
589,Jarryd Roughead,Hawthorn,Forward,23 Jan 87,32yr,193cm,100kg,,,,
1081,Jaeger OMeara,Hawthorn,Midfield,23 Feb 94,25yr,182cm,82kg,,,,
277,Matthew Spangher,Hawthorn,Defender,23 Apr 87,29yr,195cm,96kg,,,,
1350,David Hale,Hawthorn,Ruck,22 May 84,30yr,201cm,102kg,,,,
991,Jackson Ross,Hawthorn,Forward,22 Jun 99,19yr,193cm,74kg,,,,
1352,Luke Lowden,Hawthorn,Ruck,22 Feb 91,25yr,204cm,102kg,,,,
1220,Ben Ross,Hawthorn,Midfield,21 Sep 88,25yr,179cm,79kg,,,,
1077,Shaun Burgoyne,Hawthorn,Midfield,21 Oct 82,36yr,186cm,89kg,,,,
1262,Chance Bateman,Hawthorn,Midfield,21 Jun 81,30yr,175cm,75kg,,,,
1085,Jonathan ORourke,Hawthorn,Midfield,21 Apr 94,24yr,184cm,80kg,,,,
108,James Frawley,Hawthorn,Defender,20 Sep 88,30yr,193cm,94kg,,,,
114,David Mirra,Hawthorn,Defender,20 Mar 91,28yr,186cm,81kg,,,,
1423,Broc McCauley,Hawthorn,Ruck,20 Dec 86,25yr,202cm,98kg,,,,
115,Teia Miles,Hawthorn,Defender,2 Nov 96,22yr,180cm,70kg,,,,
1219,Brad Sewell,Hawthorn,Midfield,2 Feb 84,30yr,181cm,85kg,,,,
587,Paul Puopolo,Hawthorn,Forward,2 Dec 87,31yr,173cm,76kg,,,,
1084,James Cousins,Hawthorn,Midfield,19 Mar 98,21yr,185cm,80kg,,,,
817,Jarrad Boumann,Hawthorn,Forward,18 Aug 89,22yr,196cm,85kg,,,,
585,Jack Gunston,Hawthorn,Forward,16 Oct 91,27yr,193cm,84kg,,,,
1178,Kieran Lovell,Hawthorn,Midfield,16 May 97,20yr,174cm,80kg,,,,
688,Kade Stewart,Hawthorn,Forward,16 Jan 97,20yr,180cm,67kg,,,,
1293,Harrison Jones,Hawthorn,Midfield,15 Mar 99,20yr,185cm,80kg,,,,
592,Mitch Lewis,Hawthorn,Forward,14 Oct 98,20yr,198cm,92kg,,,,
588,Cyril Rioli,Hawthorn,Forward,14 Jul 89,28yr,177cm,80kg,,,,
1337,Jonathon Ceglar,Hawthorn,Ruck,14 Feb 91,28yr,204cm,94kg,,,,
931,Mathew Walker,Hawthorn,Forward,14 Feb 00,19yr,188cm,84kg,,,,
241,Josh Gibson,Hawthorn,Defender,13 Mar 84,33yr,189cm,94kg,,,,
930,Changkuoth Jiath,Hawthorn,Forward,13 Jun 99,19yr,185cm,74kg,,,,
276,Angus Litherland,Hawthorn,Defender,12 Oct 92,23yr,192cm,90kg,,,,
858,Harry Morrison,Hawthorn,Forward,12 Nov 98,20yr,182cm,73kg,,,,
1078,Ricky Henderson,Hawthorn,Midfield,11 Sep 88,30yr,188cm,91kg,,,,
584,Luke Breust,Hawthorn,Forward,11 Nov 90,28yr,184cm,84kg,,,,
1221,Alex Woodward,Hawthorn,Midfield,11 Jun 93,22yr,182cm,79kg,,,,
961,Jacob Koschitzke,Hawthorn,Defender,11 Jul 00,18yr,196cm,93kg,,,,
6046,ZacÿWebster,Hawthorn,Forward,11 Aug 95,20yr,182cm,75kg,,,,
111,Ben Stratton,Hawthorn,Defender,1 Mar 89,30yr,189cm,89kg,,,,
242,Kurt Heatherley,Hawthorn,Defender,1 Jan 95,23yr,193cm,89kg,,,,
3725,BenÿStratton,Hawthorn,Defender,1-Mar-89,,189cm,88kg,,,,
1322,Oliver Hanrahan,Hawthorn,Midfield,27-Aug-98,,181cm,75kg,,,,
960,Connor Idun,GWS Giants,Defender,29 Jul 00,18yr,191cm,91kg,,,,
1289,Jye Caldwell,GWS Giants,Midfield,28 Sep 00,18yr,184cm,82kg,,,,
1288,Jackson Hately,GWS Giants,Midfield,21 Oct 00,18yr,189cm,80kg,,,,
440,Jake Stein,GWS Giants,Defender,17 Jan 94,25yr,195cm,94kg,,,,
1290,Jack Buckley,GWS Giants,Midfield,17 Dec 97,21yr,194cm,81kg,,,,
441,Callum M Brown,GWS Giants,Defender,15 Aug 00,18yr,189cm,91kg,,,,
1430,Matthew Flynn,GWS Giants,Ruck,13 Sep 97,21yr,199cm,101kg,,,,
989,Zach Sproule,GWS Giants,Forward,12 May 98,20yr,197cm,84kg,,,,
1291,Xavier OHalloran,GWS Giants,Midfield,11 Jul 00,18yr,186cm,84kg,,,,
990,Kieren Briggs,GWS Giants,Forward,10 Jun 99,19yr,200cm,103kg,,,,
928,Bobby Hill,GWS Giants,Forward,9-Feb-00,,175cm,66kg,,,,
583,Brent Daniels,Greater Western Sydney,Forward,9 Mar 99,20yr,171cm,70kg,,,,
1070,Dylan Shiel,Greater Western Sydney,Midfield,9 Mar 93,26yr,180cm,84kg,,,,
94,Jeremy Finlayson,Greater Western Sydney,Defender,9 Feb 96,23yr,195cm,84kg,,,,
1335,Rory Lobb,Greater Western Sydney,Ruck,9 Feb 93,26yr,206cm,95kg,,,,
856,Aiden Bonar,Greater Western Sydney,Forward,8 May 99,19yr,189cm,87kg,,,,
716,Harrison Himmelberg,Greater Western Sydney,Forward,8 May 96,22yr,194cm,86kg,,,,
578,Harry Himmelberg,Greater Western Sydney,Forward,8 May 96,22yr,194cm,86kg,,,,
904,Luke Power,Greater Western Sydney,Forward,8 Jan 80,32yr,180cm,79kg,,,,
766,Dylan Addison,Greater Western Sydney,Forward,7 Oct 87,27yr,185cm,84kg,,,,
464,Sam J Reid,Greater Western Sydney,Forward,7 Nov 89,29yr,187cm,86kg,,,,
275,Joel Patfull,Greater Western Sydney,Defender,7 Dec 84,32yr,190cm,88kg,,,,
1075,Jacob Hopper,Greater Western Sydney,Midfield,6 Feb 97,22yr,186cm,85kg,,,,
337,Tim Golds,Greater Western Sydney,Defender,6 Apr 93,23yr,191cm,81kg,,,,
1259,James McDonald,Greater Western Sydney,Midfield,5 Oct 76,35yr,181cm,75kg,,,,
103,Sam Taylor,Greater Western Sydney,Defender,5 May 99,19yr,196cm,87kg,,,,
1392,Shane Mumford,Greater Western Sydney,Ruck,5 Jul 86,32yr,198cm,104kg,,,,
884,Will Setterfield,Greater Western Sydney,Forward,5 Feb 98,21yr,190cm,80kg,,,,
686,Steve Johnson,Greater Western Sydney,Forward,4 Jul 83,33yr,189cm,92kg,,,,
365,Gerald Ugle,Greater Western Sydney,Defender,31 Jan 93,20yr,180cm,84kg,,,,
93,Phil Davis,Greater Western Sydney,Defender,30 Aug 90,28yr,196cm,96kg,,,,
3583,TimÿSegrave,Greater Western Sydney,Defender,3 Feb 92,20yr,193cm,88kg,,,,
815,Israel Folau,Greater Western Sydney,Forward,3 Apr 89,23yr,193cm,101kg,,,,
1071,Tim Taranto,Greater Western Sydney,Midfield,28 Jan 98,21yr,186cm,83kg,,,,
1160,Tendai Mzungu,Greater Western Sydney,Midfield,28 Feb 86,31yr,182cm,84kg,,,,
96,Heath Shaw,Greater Western Sydney,Defender,27 Nov 85,33yr,184cm,86kg,,,,
1261,Steve Clifton,Greater Western Sydney,Midfield,27 May 87,24yr,182cm,84kg,,,,
855,Ryan Griffen,Greater Western Sydney,Forward,27 Jul 86,31yr,188cm,87kg,,,,
1349,Tom Downie,Greater Western Sydney,Ruck,27 Apr 93,23yr,203cm,95kg,,,,
577,Toby Greene,Greater Western Sydney,Forward,25 Sep 93,25yr,181cm,78kg,,,,
1076,Nick Shipley,Greater Western Sydney,Midfield,25 Jun 99,19yr,188cm,93kg,,,,
816,Rhys Cooyou,Greater Western Sydney,Forward,22 Mar 91,21yr,183cm,70kg,,,,
105,Zac Williams,Greater Western Sydney,Defender,20 Sep 94,24yr,180cm,80kg,,,,
1336,Jonathon Patton,Greater Western Sydney,Ruck,20 May 93,25yr,197cm,100kg,,,,
336,Stephen Gilham,Greater Western Sydney,Defender,2 Sep 84,29yr,192cm,86kg,,,,
1260,Sam Schulz,Greater Western Sydney,Midfield,19 Sep 92,22yr,181cm,79kg,,,,
102,Matt Buntine,Greater Western Sydney,Defender,19 Oct 93,25yr,189cm,86kg,,,,
101,Tim Mohr,Greater Western Sydney,Defender,19 Oct 88,30yr,196cm,101kg,,,,
98,Harry Perryman,Greater Western Sydney,Defender,19 Dec 98,20yr,184cm,77kg,,,,
95,Nick Haynes,Greater Western Sydney,Defender,18 May 92,26yr,188cm,79kg,,,,
1355,Setanta OhAilpin,Greater Western Sydney,Ruck,18 Mar 83,30yr,199cm,103kg,,,,
97,Lachie Whitfield,Greater Western Sydney,Defender,18 Jul 94,24yr,187cm,75kg,,,,
580,Daniel Lloyd,Greater Western Sydney,Forward,18 Feb 92,27yr,187cm,87kg,,,,
1068,Brett Deledio,Greater Western Sydney,Midfield,18 Apr 87,32yr,188cm,88kg,,,,
92,Aidan Corr,Greater Western Sydney,Defender,17 May 94,24yr,194cm,85kg,,,,
1371,Dawson Simpson,Greater Western Sydney,Ruck,17 Feb 89,30yr,206cm,109kg,,,,
582,Dylan Buckley,Greater Western Sydney,Forward,16 Mar 93,26yr,179cm,75kg,,,,
480,Bret Thornton,Greater Western Sydney,Forward,15 Nov 83,29yr,192cm,94kg,,,,
1074,Tom Scully,Greater Western Sydney,Midfield,15 May 91,27yr,181cm,78kg,,,,
1067,Stephen Coniglio,Greater Western Sydney,Midfield,15 Dec 93,25yr,182cm,81kg,,,,
335,Josh Hunt,Greater Western Sydney,Defender,14 Mar 82,32yr,185cm,101kg,,,,
1420,Dean Brogan,Greater Western Sydney,Ruck,14 Dec 78,34yr,201cm,98kg,,,,
99,Lachlan Keeffe,Greater Western Sydney,Defender,14 Apr 90,29yr,204cm,102kg,,,,
579,Zac Langdon,Greater Western Sydney,Forward,13 Nov 95,23yr,175cm,75kg,,,,
403,Chad Cornes,Greater Western Sydney,Defender,12 Nov 79,33yr,191cm,93kg,,,,
104,Adam Kennedy,Greater Western Sydney,Defender,12 Jul 92,26yr,182cm,76kg,,,,
1069,Josh Kelly,Greater Western Sydney,Midfield,12 Feb 95,24yr,184cm,74kg,,,,
100,Isaac Cumming,Greater Western Sydney,Defender,11 Aug 98,20yr,183cm,72kg,,,,
581,Matt de Boer,Greater Western Sydney,Forward,10 Mar 90,29yr,186cm,85kg,,,,
3427,AdamÿTomlinson,Greater Western Sydney,Midfield,10 Aug 93,25yr,193cm,89kg,,,,
1073,Callan Ward,Greater Western Sydney,Midfield,10 Apr 90,29yr,185cm,83kg,,,,
576,Jeremy Cameron,Greater Western Sydney,Forward,1 Apr 93,26yr,194cm,91kg,,,,
1072,Adam Tomlinson,Greater Western Sydney,Midfield,10-Aug-93,,193cm,92kg,,,,
926,Connor Nutting,Gold Coast,Forward,9 Oct 99,19yr,185cm,77kg,,,,
462,Callum Ah Chee,Gold Coast,Forward,9 Oct 97,21yr,182cm,71kg,,,,
764,Timmy Sumner,Gold Coast,Forward,9 Oct 94,20yr,187cm,86kg,,,,
1062,Aaron Hall,Gold Coast,Midfield,9 Nov 90,28yr,186cm,81kg,,,,
813,Andrew McQualter,Gold Coast,Forward,9 Jun 86,25yr,179cm,74kg,,,,
84,Kade Kolodjashnij,Gold Coast,Defender,9 Aug 95,23yr,190cm,81kg,,,,
985,Jack Lukosius,Gold Coast,Forward,9 Aug 00,18yr,195cm,83kg,,,,
574,Peter Wright,Gold Coast,Forward,8 Sep 96,22yr,203cm,100kg,,,,
1195,Andrew Raines,Gold Coast,Midfield,8 Mar 86,29yr,183cm,82kg,,,,
86,Michael Rischitelli,Gold Coast,Defender,8 Jan 86,33yr,184cm,83kg,,,,
438,Jez McLennan,Gold Coast,Defender,7 Sep 00,18yr,185cm,81kg,,,,
684,Ryan Davis,Gold Coast,Forward,7 Jun 89,27yr,189cm,84kg,,,,
987,Ben King,Gold Coast,Forward,7 Jul 00,18yr,202cm,87kg,,,,
238,Mackenzie Willis,Gold Coast,Defender,7 Aug 95,22yr,182cm,82kg,,,,
565,Sam Day,Gold Coast,Forward,6 Sep 92,26yr,196cm,101kg,,,,
685,Jarrad Grant,Gold Coast,Forward,6 Jul 89,27yr,192cm,84kg,,,,
570,Aaron Young,Gold Coast,Forward,6 Dec 92,26yr,188cm,80kg,,,,
274,Seb Tape,Gold Coast,Defender,6 Aug 92,23yr,191cm,87kg,,,,
1422,Josh Fraser,Gold Coast,Ruck,5 Jan 82,30yr,202cm,100kg,,,,
239,Jack Scrimshaw,Gold Coast,Defender,4 Sep 98,20yr,193cm,80kg,,,,
89,Max Spencer,Gold Coast,Defender,4 Oct 97,20yr,190cm,82kg,,,,
363,Jackson Allen,Gold Coast,Defender,4 Mar 93,21yr,179cm,79kg,,,,
1403,Tom Nicholls,Gold Coast,Ruck,4 Mar 92,27yr,201cm,98kg,,,,
791,Liam Patrick,Gold Coast,Forward,4 Mar 88,25yr,185cm,79kg,,,,
567,Tom J Lynch,Gold Coast,Forward,31 Oct 92,26yr,199cm,97kg,,,,
1258,Piers Flanagan,Gold Coast,Midfield,31 Mar 92,20yr,189cm,74kg,,,,
572,Brad Scheer,Gold Coast,Forward,31 Aug 98,20yr,184cm,84kg,,,,
1066,Jacob Dawson,Gold Coast,Midfield,3 Nov 99,19yr,181cm,77kg,,,,
1065,Josh Schoenfeld,Gold Coast,Midfield,3 Jul 97,21yr,186cm,75kg,,,,
569,Alex Sexton,Gold Coast,Forward,3 Dec 93,25yr,185cm,77kg,,,,
743,Josh Hall,Gold Coast,Forward,3 Apr 90,25yr,197cm,87kg,,,,
333,Matthew Warnock,Gold Coast,Defender,3 Apr 84,30yr,195cm,94kg,,,,
314,Greg Broughton,Gold Coast,Defender,29 Sep 86,28yr,189cm,82kg,,,,
568,Darcy Macpherson,Gold Coast,Forward,29 Oct 97,21yr,174cm,72kg,,,,
362,Joel Wilkinson,Gold Coast,Defender,29 Nov 91,21yr,186cm,86kg,,,,
566,Nick Holman,Gold Coast,Forward,29 May 95,23yr,189cm,78kg,,,,
853,Jack Martin,Gold Coast,Forward,29 Jan 95,24yr,185cm,71kg,,,,
361,Jared Brennan,Gold Coast,Defender,28 Jul 84,28yr,195cm,95kg,,,,
790,Campbell Brown,Gold Coast,Forward,28 Aug 83,30yr,179cm,85kg,,,,
471,Clay Cameron,Gold Coast,Forward,27 May 94,21yr,190cm,84kg,,,,
765,Louis Herbert,Gold Coast,Forward,27 Jun 94,20yr,188cm,77kg,,,,
1286,Sam Fletcher,Gold Coast,Midfield,27 Jan 00,19yr,187cm,79kg,,,,
91,Jack Leslie,Gold Coast,Defender,27 Apr 95,23yr,198cm,94kg,,,,
1390,Keegan Brooksby,Gold Coast,Ruck,27 Apr 90,28yr,197cm,99kg,,,,
986,Chris Burgess,Gold Coast,Forward,26 Nov 95,23yr,193cm,84kg,,,,
1056,Jack Bowes,Gold Coast,Midfield,26 Jan 98,21yr,187cm,78kg,,,,
575,Wil Powell,Gold Coast,Forward,26 Aug 99,19yr,184cm,65kg,,,,
1287,Mitch Riordan,Gold Coast,Midfield,25 Jan 00,19yr,187cm,83kg,,,,
892,Luke Russell,Gold Coast,Forward,24 Jan 92,24yr,186cm,81kg,,,,
1060,Matt Rosa,Gold Coast,Midfield,23 Nov 86,31yr,191cm,84kg,,,,
1196,Andrew Boston,Gold Coast,Midfield,23 Mar 94,21yr,180cm,79kg,,,,
90,Charlie Ballard,Gold Coast,Defender,23 Jul 99,19yr,196cm,82kg,,,,
417,Lachie Weller,Gold Coast,Defender,23 Feb 96,23yr,182cm,77kg,,,,
1064,Will Brodie,Gold Coast,Midfield,23 Aug 98,20yr,189cm,82kg,,,,
1159,Mitch Hallahan,Gold Coast,Midfield,23 Aug 92,24yr,183cm,84kg,,,,
988,Josh Corbett,Gold Coast,Forward,23 Apr 96,22yr,190cm,90kg,,,,
927,Izak Rankine,Gold Coast,Forward,23 Apr 00,18yr,179cm,79kg,,,,
1058,Jarryd Lyons,Gold Coast,Midfield,22 Jul 92,26yr,184cm,82kg,,,,
1059,Touk Miller,Gold Coast,Midfield,22 Feb 96,23yr,178cm,81kg,,,,
1057,Brayden Fiorini,Gold Coast,Midfield,22 Aug 97,21yr,186cm,75kg,,,,
6832,CameronÿLoersch,Gold Coast,Forward,20 Oct 95,21yr,203cm,103kg,,,,
793,Nathan Bock,Gold Coast,Forward,20 Mar 83,31yr,193cm,93kg,,,,
334,Jack Hutchins,Gold Coast,Defender,20 Feb 92,22yr,191cm,93kg,,,,
1238,Kyal Horsley,Gold Coast,Midfield,2 Sep 87,25yr,182cm,89kg,,,,
573,Sean Lemmens,Gold Coast,Forward,2 Nov 94,24yr,182cm,66kg,,,,
1061,David Swallow,Gold Coast,Midfield,19 Nov 92,26yr,186cm,86kg,,,,
4567,Thomas Murphy,Gold Coast,Defender,19 Mar 86,28yr,190cm,89kg,,,,
1257,Sam Iles,Gold Coast,Midfield,19 Jun 87,24yr,185cm,83kg,,,,
82,Jarrod Harbrow,Gold Coast,Defender,18 Jul 88,30yr,178cm,74kg,,,,
742,Danny Stanley,Gold Coast,Forward,18 Feb 88,28yr,187cm,92kg,,,,
854,Michael Barlow,Gold Coast,Forward,18 Dec 87,30yr,189cm,91kg,,,,
401,Josh Toy,Gold Coast,Defender,18 Apr 92,20yr,185cm,87kg,,,,
1217,Karmichael Hunt,Gold Coast,Midfield,17 Nov 86,27yr,186cm,91kg,,,,
400,Jeremy Taylor,Gold Coast,Defender,17 Jun 92,21yr,191cm,89kg,,,,
83,Jesse Joyce,Gold Coast,Defender,17 Aug 97,21yr,191cm,90kg,,,,
571,Brayden Crossley,Gold Coast,Forward,16 Aug 99,19yr,198cm,101kg,,,,
88,Pearce Hanley,Gold Coast,Defender,15 Nov 88,30yr,185cm,85kg,,,,
1391,Daniel Currie,Gold Coast,Ruck,15 Feb 89,28yr,201cm,96kg,,,,
273,Nick Malceski,Gold Coast,Defender,15 Aug 84,31yr,188cm,86kg,,,,
439,Harrison Wigg,Gold Coast,Defender,14 Oct 96,22yr,178cm,74kg,,,,
1063,Jesse Lonergan,Gold Coast,Midfield,14 Nov 94,23yr,183cm,89kg,,,,
792,Jacob Gillbee,Gold Coast,Forward,13 Sep 92,20yr,184cm,80kg,,,,
1370,Jarrod Witts,Gold Coast,Ruck,13 Sep 92,26yr,208cm,113kg,,,,
6396,TyroneÿDownie,Gold Coast,Forward,13 Sep 88,26yr,181cm,76kg,,,,
402,Michael Coad,Gold Coast,Defender,13 Sep 83,28yr,190cm,86kg,,,,
364,Leigh Osborne,Gold Coast,Defender,13 Mar 90,24yr,182cm,81kg,,,,
814,Alik Magin,Gold Coast,Forward,13 Apr 91,21yr,181cm,72kg,,,,
959,Caleb Graham,Gold Coast,Defender,12 Sep 00,18yr,194cm,84kg,,,,
87,Rory Thompson,Gold Coast,Defender,12 Mar 91,28yr,200cm,97kg,,,,
6826,TomÿKeough,Gold Coast,Midfield,10 Oct 91,24yr,193cm,91kg,,,,
1194,Josh Glenn,Gold Coast,Midfield,10 Mar 94,21yr,180cm,78kg,,,,
85,Steven May,Gold Coast,Defender,10 Jan 92,27yr,190cm,99kg,,,,
564,Ben Ainsworth,Gold Coast,Forward,10 Feb 98,21yr,178cm,76kg,,,,
463,Jacob Heron,Gold Coast,Forward,10 Dec 99,19yr,180cm,75kg,,,,
75,Jake Kolodjashnij,Geelong,Defender,9 Aug 95,23yr,193cm,88kg,,,,
1052,Jordan Cunico,Geelong,Midfield,7 May 96,22yr,184cm,78kg,,,,
851,Sam Menegola,Geelong,Forward,7 Mar 92,27yr,188cm,88kg,,,,
236,Andrew Mackie,Geelong,Defender,7 Aug 84,32yr,192cm,86kg,,,,
982,Darcy Fort,Geelong,Forward,6 Aug 93,25yr,205cm,99kg,,,,
398,Matthew Scarlett,Geelong,Defender,5 Jun 79,32yr,192cm,94kg,,,,
1237,Jordan Schroder,Geelong,Midfield,5 Dec 92,21yr,182cm,86kg,,,,
852,Patrick Dangerfield,Geelong,Forward,5 Apr 90,29yr,185cm,91kg,,,,
551,Cory Gregson,Geelong,Forward,4 Sep 96,21yr,175cm,73kg,,,,
1414,Hamish McIntosh,Geelong,Ruck,4 Sep 84,30yr,203cm,103kg,,,,
