,Player,Team,Position,DOB,Age,Height,Weight,,,,
1132,Josh P Kennedy,Sydney,Midfield,20 Jun 88,30yr,188cm,96kg,,,,
998,Hayden McLean,Sydney,Forward,20 Jan 99,20yr,196cm,93kg,,,,
4683,BrettÿMeredith,Sydney,Midfield,20 Jan 89,23yr,181cm,81kg,,,,
1437,Joel Amartey,Sydney,Ruck,2 Sep 99,19yr,196cm,85kg,,,,
1311,James Bell,Sydney,Midfield,2 Oct 99,19yr,183cm,72kg,,,,
190,Alex Johnson,Sydney,Defender,2 Mar 92,26yr,193cm,91kg,,,,
185,Dane Rampe,Sydney,Defender,2 Jun 90,28yr,189cm,89kg,,,,
178,Heath Grundy,Sydney,Defender,2 Jun 86,32yr,192cm,100kg,,,,
886,Jordan Foote,Sydney,Forward,2 Jan 96,22yr,183cm,76kg,,,,
183,Callum Mills,Sydney,Defender,2 Apr 97,22yr,186cm,80kg,,,,
1326,James Rowbottom,Sydney,Midfield,19 Sep 00,18yr,186cm,76kg,,,,
1329,Cody Hirst,Sydney,Midfield,19 Jan 00,19yr,178cm,67kg,,,,
1384,Darcy Cameron,Sydney,Ruck,18 Jul 95,23yr,204cm,101kg,,,,
652,Ben Ronke,Sydney,Forward,18 Dec 97,21yr,181cm,75kg,,,,
1327,Justin McInerney,Sydney,Midfield,18 Aug 00,18yr,187cm,72kg,,,,
321,Rhyce Shaw,Sydney,Defender,16 Oct 81,33yr,181cm,81kg,,,,
1396,Sam Naismith,Sydney,Ruck,16 Jul 92,26yr,205cm,104kg,,,,
655,James Rose,Sydney,Forward,16 Apr 96,23yr,185cm,79kg,,,,
466,Robbie Fox,Sydney,Forward,16 Apr 93,26yr,185cm,84kg,,,,
654,Ryley Stoddart,Sydney,Forward,15 Oct 99,19yr,183cm,74kg,,,,
179,Zak Jones,Sydney,Defender,15 Mar 95,24yr,183cm,75kg,,,,
903,Jude Bolton,Sydney,Forward,15 Mar 80,33yr,181cm,83kg,,,,
184,Nic Newman,Sydney,Defender,15 Jan 93,26yr,187cm,82kg,,,,
1330,Sam Wicks,Sydney,Midfield,14 Sep 99,19yr,180cm,74kg,,,,
647,Tom Papley,Sydney,Forward,13 Jul 96,22yr,176cm,71kg,,,,
188,Harrison Marsh,Sydney,Defender,13 Jan 94,24yr,189cm,82kg,,,,
189,Colin ORiordan,Sydney,Defender,12 Oct 95,23yr,191cm,86kg,,,,
186,Nick Smith,Sydney,Defender,12 Jun 88,30yr,183cm,83kg,,,,
290,Ted Richards,Sydney,Defender,11 Jan 83,33yr,192cm,94kg,,,,
289,Michael Talia,Sydney,Defender,11 Feb 93,24yr,195cm,90kg,,,,
969,Toby Pink,Sydney,Defender,11 Aug 98,20yr,193cm,84kg,,,,
1425,Mark Seaby,Sydney,Ruck,1 May 84,27yr,199cm,101kg,,,,
452,Harry Reynolds,Sydney,Defender,11-Oct-00,,189cm,74kg,,,,
451,Matthew Ling,Sydney,Defender,21-Apr-99,,184cm,79kg,,,,
1167,Darren Minchington,St Kilda,Midfield,9 Dec 93,25yr,179cm,82kg,,,,
635,Josh Bruce,St Kilda,Forward,8 Jun 92,20yr,196cm,94kg,,,,
173,Logan Austin,St Kilda,Defender,8 Jul 95,21yr,195cm,85kg,,,,
1381,Tom Hickey,St Kilda,Ruck,6 Mar 91,28yr,201cm,94kg,,,,
167,Shane Savage,St Kilda,Defender,5 Jan 91,22yr,185cm,82kg,,,,
776,Trent Dennis-Lane,St Kilda,Forward,30 Aug 88,23yr,182cm,75kg,,,,
697,Nick Riewoldt,St Kilda,Forward,3 Jun 95,23yr,192cm,87kg,,,,
639,Tim Membrey,St Kilda,Forward,26 May 94,19yr,188cm,89kg,,,,
995,Max King,St Kilda,Forward,24 Sep 95,20yr,202cm,88kg,,,,
288,Luke Delaney,St Kilda,Defender,24 Jun 89,23yr,194cm,99kg,,,,
177,Hugh Goddard,St Kilda,Defender,24 Aug 96,22yr,196cm,94kg,,,,
286,Sam Fisher,St Kilda,Defender,23 Feb 98,19yr,180cm,76kg,,,,
166,Dylan Roberton,St Kilda,Defender,21 Jun 91,20yr,194cm,88kg,,,,
748,Tom Curren,St Kilda,Forward,18 Sep 93,20yr,195cm,96kg,,,,
1125,Koby Stevens,St Kilda,Midfield,18 Jun 91,24yr,187cm,83kg,,,,
162,Nathan Brown,St Kilda,Defender,17 Dec 88,27yr,195cm,101kg,,,,
1128,Nathan Freeman,St Kilda,Midfield,16 Jun 95,19yr,184cm,85kg,,,,
643,Maverick Weller,St Kilda,Forward,13 Feb 92,27yr,182cm,87kg,,,,
1123,Jack Steele,St Kilda,Midfield,13 Dec 95,20yr,187cm,86kg,,,,
1380,Billy Longer,St Kilda,Ruck,12 May 93,19yr,202cm,101kg,,,,
637,Ben Long,St Kilda,Forward,11 Jul 89,29yr,200cm,103kg,,,,
163,Jake Carlisle,St Kilda,Defender,1 Oct 91,23yr,200cm,98kg,,,,
176,Ben Paton,St Kilda,Defender,19-Oct-98,,186cm,77 kg,,,,
172,Bailey Rice,St Kilda,Defender,10-Feb-97,,184cm,83kg,,,,
170,Brandon White,St Kilda,Defender,13-Jan-97,,189cm,82kg,,,,
174,Daniel McKenzie,St Kilda,Defender,17-May-96,,184cm,78kg,,,,
966,Callum Wilkie,St Kilda,Defender,10-Mar-96,,191cm,87kg,,,,
866,Blake Acres,St Kilda,Forward,7-Oct-95,,193cm,92kg,,,,
777,Spencer White,St Kilda,Forward,22-Sep-94,,196cm,84kg,,,,
730,Brodie Murdoch,St Kilda,Forward,21-Jan-94,,188cm,78kg,,,,
774,Arryn Siposs,St Kilda,Forward,25-Nov-92,,189cm,90kg,,,,
1244,Tom Ledger,St Kilda,Midfield,17-Mar-92,,178cm,70kg,,,,
287,Tom Lee,St Kilda,Defender,2-Jan-91,,194cm,91kg,,,,
320,Cameron Shenton,St Kilda,Defender,27-Sep-90,,188cm,83kg,,,,
477,Tom Simpkin,St Kilda,Forward,7-Aug-90,,191cm,91kg,,,,
746,Ahmed Saad,St Kilda,Forward,9-Oct-89,,175cm,75kg,,,,
775,Terry Milera,St Kilda,Forward,8-Jan-88,,185cm,68kg,,,,
773,Beau Maister,St Kilda,Forward,20-Mar-86,,194cm,96kg,,,,
747,Adam Schneider,St Kilda,Forward,12-May-84,,175cm,78kg,,,,
1226,Clinton Jones,St Kilda,Midfield,2-Feb-84,,183cm,83kg,,,,
285,Sean Dempster,St Kilda,Defender,20-Jan-84,,191cm,87kg,,,,
1268,Brett Peake,St Kilda,Midfield,5-Jul-83,,186cm,85kg,,,,
799,Stephen Milne,St Kilda,Forward,8-Mar-80,,176cm,83kg,,,,
175,Darragh Joyce,St Kilda,Defender,23-Apr-97,,195cm,95kg,,,,
867,David Armitage,St Kilda,Forward,6-Jun-88,,183cm,84kg,,,,
1269,Dean Polo,St Kilda,Midfield,5-Aug-86,,187cm,81kg,,,,
450,Doulton Langlands,St Kilda,Defender,29-Jul-99,,187cm,83kg,,,,
1127,Ed Phillips,St Kilda,Midfield,29-Mar-98,,187cm,80kg,,,,
729,Eli Templeton,St Kilda,Forward,19-Aug-95,,183cm,73kg,,,,
164,Hunter Clark,St Kilda,Defender,26-Mar-99,,186cm,79kg,,,,
634,Jack Billings,St Kilda,Forward,18-Aug-95,,184cm,81kg,,,,
1309,Jack Bytel,St Kilda,Midfield,14-Mar-00,,189cm,78kg,,,,
